,id,Concept,has_background
114,114,Giza Plateau,True
115,115,Sultan Qaytbay Complex,True
116,116,Pyramid of Menkaure,True
117,117,Amr Ibn al-Aas Mosque (Damietta),True
118,118,Montaza Palace,True
119,119,6 October Bridge,True
120,120,Ben Ezra Synagogue,True
121,121,Bent Pyramid,True
122,122,"Crystal Mountain, White Desert",True
123,123,Pyramid of Djedkare Isesi,True
124,124,Alexandria Zoo,True
125,125,Monastery of Saint Macarius the Great,True
126,126,Pyramid of Userkaf,True
127,127,Valley of the Queens,True
128,128,Cairo International Stadium,True
129,129,Sakakini Palace,True
130,130,Dendera Temple complex,True
131,131,Islamic Cairo,True
132,132,Ras Muhammad,True
133,133,Mosque of al-Maridani,True
134,134,"Greco-Roman Museum, Alexandria",True
135,135,Synagogue of Moses Maimonides,True
136,136,Mosque of Saint Ibrahim El-Desouky,False
137,137,Al-Sayeda Nafeesah Mosque,True
138,138,Saint Barbara Church in Coptic Cairo,True
139,139,Temple of Derr,True
140,140,Alexandria Port,True
141,141,Mosque-Madrassa of Sultan Hassan,True
142,142,Bab al-Futuh,True
143,143,Qalawun complex,True
144,144,"Saint Mark's Coptic Orthodox Cathedral, Cairo",True
145,145,Coptic Museum in Cairo,True
146,146,Nilometer in Rhoda Island,True
147,147,San Stefano Grand Plaza,True
148,148,Mohandessin,False
149,149,Speos Artemidos,True
150,150,Pyramid of Khendjer,True
151,151,Al-Salih Tala'i Mosque,True
152,152,Mallawi Museum,True
153,153,Amir Taz Palace,True
154,154,Pyramid of Sahure,True
155,155,Al-Rifa'i Mosque,True
156,156,Mosque of Qajmas al-Ishaqi,False
157,157,Nyuserre sun temple,True
158,158,Luxor Museum,True
159,159,Aswan Low Dam,True
160,160,Tomb of Kheruef,False
161,161,Sadat museum,True
162,162,Temple of Isis in Deir el-Shelwit,True
163,163,Al-Aqmar Mosque,True
164,164,White Monastery,True
165,165,Antoniadis Palace,True
166,166,Mosque of Qanibay al-Rammah,True
167,167,Muhammad Ali Mosque,True
168,168,Mosque of Sultan al-Zahir Baybars,True
169,169,Aswan Botanical Garden,False
170,170,Kiosk of Qertassi,True
171,171,Saqqara,True
172,172,Edfu Temple,True
173,173,Mortuary Temple of Thutmosis III,True
174,174,Qurnet Murai,True
175,175,Paromeos Monastery,True
176,176,Pyramid of Teti,True
177,177,Pyramid of Ameni Qemau,True
178,178,Mosque of Ibn Tulun,True
179,179,Red Monastery,True
180,180,Aqsunqur Mosque,True
181,181,Pyramid of Nyuserre Ini,True
182,182,Coloured Canyon,True
183,183,Borg El Arab Stadium,True
184,184,Egyptian Geological Museum,True
185,185,"El-Ma'eini mosque, Dumyat",False
186,186,Pyramid of Khentkaus II,True
187,187,Saint Mark Coptic Orthodox Church (Heliopolis),True
188,188,Cairo Opera House,True
189,189,Deir el-Qadisa Damyana,False
190,190,"Nubia Museum, Aswan",True
191,191,WV22,True
192,192,Shepheard's Hotel,True
193,193,Ahmed Shawki Museum,True
194,194,Pyramid of Ahmose,True
195,195,"Greek Orthodox Cathedral of Evangelismos, Alexandria",True
196,196,Aswan Museum,True
197,197,Tomb of Unknown Soldier in Cairo,True
198,198,"El-Bahr mosque, Dumyat",False
199,199,"Saints Sergius and Bacchus Church, Cairo",True
200,200,New Kalabsha,True
201,201,Mosque of Sultan al-Muayyad,True
202,202,Egyptian National Library,True
203,203,Sulayman Pasha Mosque,True
204,204,Wadi Hammamat,True
205,205,Al-Ghuri Complex,True
206,206,Mahmoud Khalil Museum,True
207,207,Petrified Forest near Maadi,True
208,208,Hatem Mosque,True
209,209,Al-Nur Mosque,True
210,210,Alexandria National Museum,True
211,211,Alexandria Stadium,True
212,212,"Museum of Islamic Art, Cairo",True
213,213,Tomb of Hetepheres,True
214,214,Syrian Monastery,True
215,215,Port Said Lighthouse,True
216,216,Emir Qurqumas complex,True
217,217,Pyramid of Pepi II,True
218,218,Museum of Constantine P. Cavafy,True
219,219,Lake Timsah,True
220,220,"Cathedral of St. Mark, Alexandria",True
221,221,Pyramid of Baka,True
222,222,Fatima Khatun Mosque,True
223,223,Black Pyramid of Amenemhat III,True
224,224,"Gebel el-Teir, el-Kharga",False
225,225,Island of Bigeh,True
226,226,"Giyushi Mosque, Cairo",True
227,227,Layer Pyramid,True
228,228,Pyramid of Merenre Nemtyemsaf I,True
229,229,Hurghada Grand Aquarium,True
230,230,KV62,True
231,231,Dra Abu el-Naga,True
232,232,Gilf Kebir Plateau,True
233,233,Green Island (Egypt),True
234,234,Heliopolis Palace,True
235,235,EL-Safa Park,True
236,236,Mosque of Qanibay al-Muhammadi,True
237,237,Sha'b Abu el-Nuhas,True
238,238,Pharaon Island,True
239,239,White Pyramid of Amenemhat II,True
240,240,Umm el-Qaab,True
241,241,Dream Park,True
242,242,Sha'ar Hashamayim Synagogue (Cairo),True
243,243,Gidi Pass,True
244,244,Desouk Stadium,True
245,245,Medinet Madi,True
246,246,Pyramid of Neferefre,True
247,247,Bahr Yousef canal,False
248,248,Abu Qir Bay,True
249,249,Al-Sayeda Zainab Mosque,False
250,250,Al Fattah Al Alim Mosque (Cairo),False
251,251,Sayeda Aisha Mosque,True
252,252,Port Tewfik Memorial,True
253,253,Attarine Mosque,True
254,254,Mosque of Sultan Abu al-Ila,False
255,255,Al-Fath Mosque,True
256,256,Pyramid of Seila,True
257,257,Amada,True
258,258,Koubbeh Palace,True
259,259,Relations of Egypt and Italy,True
260,260,Sohag Stadium,True
261,261,Userkaf sun temple,True
262,262,Ras el-Tin Palace,True
263,263,"Tirbana mosque, Alexandria",False
264,264,Abu Ghurab,True
265,265,Great Pyramid of Giza,True
266,266,Wadi el Gemal National Park,True
267,267,Colossi of Memnon,True
268,268,Pyramid of Unas,True
269,269,Children's Civilisation and Creativity Centre,True
270,270,Giza Zoo,True
271,271,Deir el-Medina,True
272,272,Bibliotheca Alexandrina planetarium,True
273,273,Pyramid of Senusret I,True
274,274,Collections of the Imhotep Museum in Saqqara,True
275,275,Rhoda Island,True
276,276,Pyramid of Amenemhat I,True
277,277,Pyramid of Pepi I,True
278,278,Gezira Center for Modern Art,True
